District,District_Index,NDVI,EVI,NIR-V,CSIF,Rainfall,Tmax,Tmin,Solr_mean,Ground_Truth
faridkot 2007,31,0.4969445925007747,0.3310600247908274,0.1463081011124884,0.18008074,4.571274,37.57925796508789,26.815753936767575,281.6937561035156,4.0344827586206895
faridkot 2007,31,0.5516956925937403,0.3867246978617911,0.1771638444344592,0.5794170999999999,6.063661,37.66880416870117,26.65538024902344,275.5574951171875,4.0344827586206895
faridkot 2007,31,0.6107696312364426,0.4287047722342733,0.2017652101456461,0.8289973,2.9075243,37.1440544128418,27.539365768432614,269.29705810546875,4.0344827586206895
faridkot 2007,31,0.6819484970560892,0.5461994112178494,0.2813606664735048,0.9371989,6.140775,35.729522705078125,26.359554290771484,261.19549560546875,4.0344827586206895
faridkot 2007,31,0.6199536101642392,0.5018163929346142,0.2515318362286954,1.1830608999999999,0.0,35.039134979248054,26.19838714599609,245.38497924804688,4.0344827586206895
faridkot 2007,31,0.6085478462968702,0.4466360396653238,0.2130453264146265,1.0576975,1.2867253,34.43198776245117,23.596080780029297,247.49322509765625,4.0344827586206895
faridkot 2007,31,0.4449916640842888,0.2924314223737217,0.1245329770498915,0.6068264,2.5768945,32.997509002685554,19.17779541015625,262.5443115234375,4.0344827586206895
faridkot 2007,31,0.3084568639603346,0.1811985125503563,0.0694831548961884,0.2737352,0.0,32.30839157104492,18.359304428100586,233.0782012939453,4.0344827586206895
faridkot 2007,31,0.2660658816237992,0.1429740316083049,0.0521643277037496,0.12947114,0.18629579999999998,28.621679306030273,15.24105453491211,174.7828369140625,4.0344827586206895
faridkot 2007,31,0.2535828633405639,0.1343827703749612,0.0482306551471955,0.11380087,0.29213068,26.13897132873535,13.461137771606445,154.8567352294922,4.0344827586206895
farrukhabad 2001,32,0.2357106737967914,0.1877424171122994,0.0802201992085561,0.21985292,0.0,38.914710998535156,26.721790313720703,284.25323486328125,2.1026841884523977
farrukhabad 2001,32,0.2866607700534759,0.2001203208556149,0.08108791868877001,0.25188956,2.976226,35.67603302001953,26.0725154876709,276.3827514648437,2.1026841884523977
farrukhabad 2001,32,0.3951064171122994,0.3087051764705882,0.1411791444171123,0.37442259999999994,5.2931742999999996,34.566516876220696,27.01959228515625,255.78489685058597,2.1026841884523977
farrukhabad 2001,32,0.4039007914438502,0.30989638502673805,0.1491205539721925,0.57079256,4.408046,32.921520233154304,27.15603828430176,227.79360961914062,2.1026841884523977
farrukhabad 2001,32,0.5292170695187166,0.386275679144385,0.1815990715208556,0.74839497,13.580372,33.36641311645508,27.017858505249023,256.640380859375,2.1026841884523977
farrukhabad 2001,32,0.5338512513368985,0.3890734973262031,0.1784233779614973,0.87299466,6.446127,33.30327606201172,26.73249053955078,249.97933959960938,2.1026841884523977
farrukhabad 2001,32,0.4594631443850268,0.3340286844919786,0.1483115212278075,0.76957667,4.387275700000001,34.165000915527344,26.74355125427246,248.42454528808597,2.1026841884523977
farrukhabad 2001,32,0.4006844064171123,0.2764341390374332,0.1179675594224598,0.5415807,2.73672,34.37554931640625,24.50082778930664,263.91073608398443,2.1026841884523977
farrukhabad 2001,32,0.363716,0.2415758502673797,0.0994246335315508,0.3594042,3.5543349,33.12869644165039,23.903663635253906,216.54183959960938,2.1026841884523977
farrukhabad 2001,32,0.3260955080213903,0.2122658181818181,0.0847306468791443,0.2896867,1.4876676000000002,33.59236526489258,19.98513984680176,223.5556945800781,2.1026841884523977
farrukhabad 2001,32,0.3044545240641711,0.1914661176470588,0.0740570601304812,0.22302113,0.039409302,30.62938117980957,17.985607147216797,198.9846343994141,2.1026841884523977
farrukhabad 2001,32,0.3456983743315508,0.2181842352941176,0.0860498474267379,0.2096926,0.12833081,28.57003593444824,13.97824001312256,190.11248779296875,2.1026841884523977
farrukhabad 2002,32,0.2329652509652509,0.1736164521664522,0.0716809115057915,0.16840003,0.01175508,40.36648178100586,27.071908950805664,290.3880310058594,2.0490474686875064
farrukhabad 2002,32,0.2241473616473616,0.1694740883740883,0.0707114985070784,0.19398081,1.8084195,40.39030838012695,27.63184928894043,296.54522705078125,2.0490474686875064
farrukhabad 2002,32,0.2094286786786786,0.1614657228657228,0.0694895965508365,0.20283023,0.22445948,37.471099853515625,27.56513786315918,263.3348999023437,2.0490474686875064
farrukhabad 2002,32,0.2206964607464607,0.1676103389103389,0.0720672675933075,0.24057342,4.7563963,37.10522079467773,27.74542808532715,254.6905670166016,2.0490474686875064
farrukhabad 2002,32,0.2429633848133848,0.1901329257829258,0.0828512723766624,0.30201915,2.2832801,33.96657180786133,27.27746963500977,239.45602416992188,2.0490474686875064
farrukhabad 2002,32,0.47503923208923204,0.3311987773487773,0.1477125179279279,0.46961153,9.254964999999999,32.69685745239258,26.49379730224609,226.4614715576172,2.0490474686875064
farrukhabad 2002,32,0.4004135778635778,0.3008165594165594,0.1403043161068211,0.63835436,3.5984220000000002,32.02914428710937,26.05270767211914,227.11509704589844,2.0490474686875064
farrukhabad 2002,32,0.4587208708708708,0.3020256971256971,0.1287301801565851,0.5431013000000001,17.064787,31.593189239501953,23.05569648742676,243.8295745849609,2.0490474686875064
farrukhabad 2002,32,0.3955052552552552,0.2613577649077649,0.1089448015315315,0.4470653,0.0,33.527145385742195,22.10675621032715,242.3668212890625,2.0490474686875064
